"name","type","salience","mentions","text_id"
NA,NA,NA,NA,300
NA,NA,NA,NA,301
NA,NA,NA,NA,302
"African-American","PERSON",0.1862,1,303
"African-American","PERSON",0.1706,1,304
"Democrat","PERSON",0.0222,1,304
"Trump","PERSON",1,1,305
NA,NA,NA,NA,306
"Detroit","LOCATION",0.0886,1,307
"Philadelphia","LOCATION",0.0886,1,307
"Trump","PERSON",1,1,308
"Donald","PERSON",0.3579,1,309
"Trump","PERSON",0.7576,1,310
"United States","LOCATION",0.0078,1,310
"Americans","PERSON",0.0043,1,310
"Patti Doyle","PERSON",0.6036,1,311
"Secretary Clinton","PERSON",0.1444,1,311
"Sidney Blumenthal","PERSON",0.04,1,311
"Obama","PERSON",0.0375,1,311
"McClatchy","OTHER",0.5896,2,312
"CNN","ORGANIZATION",0.1407,1,312
"Blumenthal","PERSON",0.1004,1,312
"Patti Solis Doyle","PERSON",0.0633,1,312
"Wolf Blitzer","PERSON",0.041,1,312
"Kenya","LOCATION",0.0182,1,312
NA,NA,NA,NA,313
NA,NA,NA,NA,314
"ISIS","ORGANIZATION",0.2995,1,315
NA,NA,NA,NA,316
NA,NA,NA,NA,317
NA,NA,NA,NA,318
NA,NA,NA,NA,319
"Clinton","PERSON",0.4916,1,320
"CNN","ORGANIZATION",0.0173,1,320
"Sidney Blumenthal","PERSON",0.0136,1,320
"Americans","PERSON",0.1106,1,321
NA,NA,NA,NA,322
"African-American","PERSON",0.1354,1,323
NA,NA,NA,NA,324
"Clinton","PERSON",1,1,325
NA,NA,NA,NA,326
NA,NA,NA,NA,327
"Donald","PERSON",0.4055,1,328
"Lester Holt","PERSON",0.1437,1,328
"American","LOCATION",0.0602,1,329
"Donald","PERSON",0.6687,1,330
"Justice Department","ORGANIZATION",0.0315,2,330
"African-Americans","PERSON",0.0156,1,330
"Barack Obama","PERSON",0.7,1,331
"Michelle Obama","PERSON",0.6215,1,332
"Democratic National Convention","EVENT",0.0936,1,332
"Donald Trump","PERSON",0.0677,1,332
"Barack Obama","PERSON",0.0253,1,332
"Trump","PERSON",0.9178,1,333
"Barack Obama","PERSON",0.337,1,334
NA,NA,NA,NA,335
"Brooklyn","LOCATION",0.0493,1,336
"Queens","LOCATION",0.0493,1,336
NA,NA,NA,NA,337
NA,NA,NA,NA,338
"Palm Beach","LOCATION",0.0563,1,339
"Florida","LOCATION",0.0563,1,339
"African- Americans","PERSON",0.0164,1,339
"Muslims","PERSON",0.0164,1,339
"Securing America","EVENT",0.3125,1,340
"Clinton","PERSON",0.8053,1,341
NA,NA,NA,NA,342
"Russia","ORGANIZATION",0.0514,2,343
"Donald","PERSON",0.0158,1,343
"Vladimir Putin","PERSON",0.0143,2,343
"Russia","LOCATION",0.0231,1,344
"Democratic National Committee","ORGANIZATION",0.0193,1,344
"United States","LOCATION",0.0076,1,344
"China","ORGANIZATION",0.0066,1,344
"Iran","ORGANIZATION",0.0066,1,344
NA,NA,NA,NA,345
"Russians","ORGANIZATION",0.3419,1,346
"Putin","PERSON",0.0456,1,346
"Donald","PERSON",0.0433,1,346
"Republican","ORGANIZATION",0.0246,1,346
"Americans","PERSON",0.0181,1,346
NA,NA,NA,NA,347
"Donald","PERSON",0.4619,1,348
"Trump","PERSON",0.8587,1,349
NA,NA,NA,NA,350
"ICE","ORGANIZATION",0.2559,2,351
"Border Patrol","ORGANIZATION",0.0234,1,351
"Clinton","PERSON",0.4309,1,352
"Russia","LOCATION",0.5535,3,353
"Clinton","PERSON",0.1827,1,353
"Russia","LOCATION",0.0157,2,353
"DNC","ORGANIZATION",0.0073,1,353
"China","LOCATION",0.0029,1,353
"DNC","ORGANIZATION",1,1,354
"DNC","ORGANIZATION",0.2842,1,355
"Bernie Sanders","PERSON",0.145,2,355
"Debbie Wasserman Schultz","PERSON",0.0858,1,355
"Russia","LOCATION",0.7941,1,356
"China","ORGANIZATION",0.0406,1,356
"Obama","PERSON",0.0309,1,356
"Secretary Clinton","PERSON",0.0764,1,357
"ISIS","ORGANIZATION",0.0717,2,357
NA,NA,NA,NA,358
"Lester","PERSON",0.0605,1,359
"Clinton","PERSON",1,1,360
"ISIS","ORGANIZATION",0.262,2,361
"Europe","LOCATION",0.008,1,361
"ISIS","ORGANIZATION",0.6313,2,362
"Arab","PERSON",0.0467,1,362
"Kurdish","PERSON",0.0467,1,362
"Raqqa","LOCATION",0.0156,1,362
"ISIS","ORGANIZATION",0.1345,1,363
"Iraq","LOCATION",0.1313,2,363
"Syria","LOCATION",0.0227,1,363
NA,NA,NA,NA,364
"bin Laden","PERSON",0.0087,1,365
"Al Qaida","ORGANIZATION",0.0084,1,365
"ISIS","ORGANIZATION",0.008,1,365
"Baghdadi","LOCATION",0.0072,1,365
"ISIS","ORGANIZATION",0.1789,2,366
"American","LOCATION",0.114,2,366
"New York","LOCATION",0.029,1,366
"New Jersey","LOCATION",0.029,1,366
"San Bernardino","LOCATION",0.0212,1,366
"Orlando","LOCATION",0.0212,1,366
"Minnesota","LOCATION",0.0116,1,366
"Trump","PERSON",0.4354,1,367
"American","LOCATION",0.1549,1,367
"Clinton","PERSON",0.4025,2,368
"ISIS","ORGANIZATION",0.1725,3,368
"Obama","PERSON",0.0744,1,368
"Iraq","LOCATION",0.0152,1,368
NA,NA,NA,NA,369
"ISIS","ORGANIZATION",0.6342,1,370
"Libya","LOCATION",0.0062,1,370
"Clinton","PERSON",1,1,371
"Iraq","LOCATION",0.0587,1,372
"Donald","PERSON",0.0434,1,372
NA,NA,NA,NA,373
NA,NA,NA,NA,374
NA,NA,NA,NA,375
"Gadhafi","PERSON",0.5191,1,376
"Libya","LOCATION",0.112,1,376
"Iraq","LOCATION",0.1104,1,377
"George W. Bush","PERSON",0.0865,1,377
